,sentence
0,Je krijgt die als je bent ingeschreven en de noodsituatie een impact op jou heeft.
1,Zo krijg je snel de juiste informatie en instructies over wat je moet doen.
2,Iedereen die dan aanwezig is in een bepaalde zone krijgt sowieso een sms.
3,Nationale test BE-Alert 18 steden en gemeenten in de provincie Antwerpen namen deel aan de nationale test op donderdag 7 oktober 2021.
4,Stap als het kan over op één van de park-and-rides aan de rand van de stad.
5,Je vindt de slimste route met de routeplanner van Slim naar Antwerpen .
6,"Iedereen kan ze inkijken, er een afschrift van bekomen of er uitleg over vragen."
7,"Indien u documenten van een district wenst op te vragen, kan u een vraag hiertoe richten aan het betrokken district."
8,"Vrouwen van 50 tot 69 jaar die de voorbije 2 jaar geen mammografie lieten maken, ontvangen een uitnodiging voor een gratis mammografie."
9,Spoor borstkanker tijdig op Borstkanker is de meest voorkomende kanker bij vrouwen in Vlaanderen.
10,Daarom is een vroegtijdige ontdekking van de kanker de beste bescherming tegen de ziekte.
11,"Een mammografie is een röntgenfoto van de borsten waarop kleine afwijkingen (tumoren) zichtbaar zijn, lang voor je deze zelf opmerkt."
12,"Voor het maken van een mammografie kan je terecht in de mammobiel, een rondrijdend centrum voor borstonderzoek."
13,De foto's worden nadien beoordeeld door radiologen van het Centrum voor Kankeropsporing.
14,Gerelateerd Toegang tot de recyclageparken Iets fout of onduidelijk op deze pagina?
15,Opgroeipunt Je kan ook terecht bij het Opgroeipunt voor informatie of advies en met meldingen over jeugdhulp.
16,Verschillende vormen van prostitutie in Antwerpen Er zijn verschillende vormen van prostitutie.
17,"Wetgeving en reglementen prostitutie Wetgeving voor seksuitbatingen, raamprostitutie en seksinrichtingen met pornografische vertoningen."
18,Toegelaten en verboden vormen van prostitutie Sommige prostitutievormen worden gedoogd.
19,"Straatprostitutie, gedwongen prostitutie en tienerprostitutie zijn verboden."
20,Prostitutieteam politie Antwerpen Het prostitutieteam van politie Antwerpen controleert de prostitutiesector in de stad om misbruik tegen te gaan.
21,Werken in de prostitutie Wie werkt in de prostitutie moet zich registreren via HookUp.
22,Sekswerkers en hun klanten kunnen een beroep doen op medische en psychologische hulp.
23,"Info over mensenhandel, gedwongen prostitutie, loverboys en tienerprostitutie."
24,Kinderopvangtoelage Met de kinderopvangtoelage betaalt de stad een deel van de kostprijs voor de opvang van je kind.
25,Dringende tijdelijke kinderopvang Heb je onverwacht kinderopvang nodig voor enkele weken?
26,"Voor bouwen, verbouwen, slopen, bomen vellen, verkavelen, uitbaten van een handelspand (+ 400 m²), een vegetatiewijziging en tal van andere zaken met impact op het milieu moet je een omgevingsvergunning aanvragen."
27,"Exploitatie van een ingedeelde inrichting of activiteit ( IIOA , vroegere milieuvergunning). bv. opslaan van gevaarlijke stoffen (giftig, brandbaar, explosief) of produceren van mogelijke geluidshinder."
28,Doorloop de stappen en ontdek tot welke klasse uw activiteiten behoren.
29,"Voor Klasse 1 en 2 is een omgevingsvergunning nodig, voor klasse 3 een melding ."
30,"Kleinhandelsactiviteiten (vroegere sociaal-economische machtiging of vergunning) bv. kleinhandel, netto handelsoppervlakte van de zaak is meer dan 400 m²."
31,Vraag advies op maat bij de afdeling Omgeving over de haalbaarheid van jouw project of de te volgen procedure.
32,Aanvragen In sommige gevallen kan je een verzoek tot projectvergadering indienen.
33,"Meer info Brandpreventie gebouwen Vooraleer je een aanvraag indient, kan je aan de brandweer advies vragen via een voorbespreking ."
34,Tijdens zo'n voorbespreking kan je specifieke vragen of problemen over de brandveiligheid van uw bouw voorleggen.
35,Een omgevingsvergunning wordt door de dienst omgevingsvergunningen afgeleverd.
